ID,Tytuł,URL_obrazka
4233061,Kiła to łaskawy wyrok,https://i1.jbzd.com.pl/contents/2025/09/normal/96tzJDAPyMOTDn3CwzyJle5PwZT3fRt0.jpg
4233060,Ale się wylosowało,https://i1.jbzd.com.pl/contents/2025/09/normal/WpJVsTI5BNMpvG038K45FS1iuEIqDXJD.jpg
4233059,sllec eht ni snaggiN,https://i1.jbzd.com.pl/contents/2025/09/normal/mG7LwKwNsVKGxckWD2yNL7Yqfru3CP5M.jpg
4233058,Trochę pusto na tej nocnej zmianie dzisiaj,https://jbzd.com.pl/images/video-age-0.png
4233057,Ale jak to xD,https://i1.jbzd.com.pl/contents/2025/09/normal/OzYDe7vXB0Ho5wTg1PjfdyEuPpcPqT7s.png
4233056,Dziwne te dzieci...,https://i1.jbzd.com.pl/contents/2025/09/normal/bXijdRZVthNwpF7Z0IryQSiJ8BPHN0Hl.jpg
4233055,"aj aj, to niedobre jest.",https://i1.jbzd.com.pl/contents/2025/09/normal/eDLF9cyOEQUphL3570KHif1u4zedcWe1.jpg
4233054,Segz z guwnotornem,https://i1.jbzd.com.pl/contents/2025/09/normal/16VISWYMuYFQNRSUsZ5LnY2LWviA7FuE.jpg
4233052,w końcu ktoś się odważył brawo - choć podatek i tak śmiesznie niski,https://i1.jbzd.com.pl/contents/2025/09/normal/xP4Qskv8gZUmSGcDzTtSg6LZ4kBBGwGX.png
4233051,Music,https://jbzd.com.pl/images/video-age-18.png
4233050,"Candlemass - Darkness in Paradise (1988, Doom Metal)",
4233049,"Nie powinienem tego wrzucać, ale chuj XD",https://jbzd.com.pl/images/video-age-18.png
4233047,Spongeboba popierdoliło,https://jbzd.com.pl/images/video-age-18.png
4233046,Mmm kolejna śmieciowa informacja w głowie,https://i1.jbzd.com.pl/contents/2025/09/normal/ZyYOdU2NDY5cRfBKcSYghZJH1JcuPOna.jpg
4233045,palestyńska awantura,https://i1.jbzd.com.pl/contents/2025/09/normal/ZkEcdlXGKALvKXbGeg0sejbA4tJN7DaR.jpg
4233044,Stare baby...,https://jbzd.com.pl/images/video-age-18.png
4233043,Dobrze wchodzi ten secik,
4233041,Tak średnio bym powiedzial,https://i1.jbzd.com.pl/contents/2025/09/normal/IAgoRh8FlmN1xvylPG5Hk0nTiwZ0OuvT.jpg
4233040,"pojebane, co to szkoła magów i czarownic?",https://i1.jbzd.com.pl/contents/2025/09/normal/3iDbJpRRW5VaeJHGLIycWOkLpBtvdte5.png
4233038,The only thing they fear...,https://jbzd.com.pl/images/video-age-18.png
4233037,Ja rano przed otwarciem maili z roboty,https://jbzd.com.pl/images/video-age-18.png
4233032,Ruchanie,https://i1.jbzd.com.pl/contents/2025/09/normal/TWtGKoGVQlDuYKvNOnq8D5o1wkgTkaV7.jpg
4233030,Na niewtajemniczonych robi to spore wrażenie,https://i1.jbzd.com.pl/contents/2025/09/normal/wtHwqrHuT3kxwFJqSWTdvUNWb8uCvuIc.jpg
4233029,"Równość, siła i niezależność",https://jbzd.com.pl/images/video-age-18.png
4233027,Aaaa kreskówki,https://jbzd.com.pl/images/video-age-0.png
4233025,Are you  ?,https://jbzd.com.pl/images/video-age-18.png
4233023,Zimmer,
4233022,Dobranoc.,https://jbzd.com.pl/images/video-age-18.png
4233021,Ja pierdole,
4233018,Na dobranoc,https://jbzd.com.pl/images/video-age-0.png
4233015,Peppa,https://jbzd.com.pl/images/video-age-18.png
4233013,Pierogi z ananasem,
4233012,Katolickie edm,
4233009,bydgoszczanie,https://i1.jbzd.com.pl/contents/2025/09/normal/oUo2vJbYu4vU9j0Wya4FiaEMQmXqF6K4.jpg
4233008,POV: Wspomnienie osiedlowych patusów,https://jbzd.com.pl/images/video-age-0.png
4233006,Rare pepe,https://i1.jbzd.com.pl/contents/2025/09/normal/0TKHttHD08b5DXh4LJBpDvuIjAhBCQGu.jpg
4233005,to ty będziesz kosztem do obniżenia,https://i1.jbzd.com.pl/contents/2025/09/normal/U4ojkRWXLwEIGrDIniR2Ui1nGiydhvvG.jpg
4233004,Bingo,https://i1.jbzd.com.pl/contents/2025/09/normal/AH9HVVW2noMYRUB0GohEGo4iri2wx2S8.png
4233003,Co wy się znacie,https://i1.jbzd.com.pl/contents/2025/09/normal/B4mV8MGAVuqwOIKB4b3wjZnk0Ef495HN.jpg
4233002,Gdy stary poczęstował cię kwaśną żelką,https://jbzd.com.pl/images/video-age-18.png
4233001,Kino dzidowe przedstawia,https://i1.jbzd.com.pl/contents/2025/09/normal/SftqaeczrxzLP7SthcWKFExxZ7GP5ASs.jpeg
4232999,Tak było,https://jbzd.com.pl/images/video-age-16.png
4232998,Północ,https://i1.jbzd.com.pl/contents/2025/09/normal/chpzQJIsDTwhgzg93MX36RvDzxSN8czF.jpg
4232997,Musiało być ciepło,https://i1.jbzd.com.pl/contents/2025/09/normal/hNOJ1jdKx9Ox1jY53Kn5G4GAbrwZp1H0.png
4232995,Silniczki odpalać się,https://i1.jbzd.com.pl/contents/2025/09/normal/WMBbYyTSQEvfbdPU5J6ZbvXYKKM8AjOH.png
4232992,Oglądnąłem go sobie dzisiaj kolejny raz...,https://i1.jbzd.com.pl/contents/2025/09/normal/kEBTXGls0uGPAev95l7NlkPzuAc8VmUB.jpg
4232991,jak kto woli,https://i1.jbzd.com.pl/contents/2025/09/normal/g53x5NbpXO9v743b0RG7kHspL06JKUsd.jpg
4232990,Wpuścmy go potem sie sprawdzi kto to,https://i1.jbzd.com.pl/contents/2025/09/normal/7TCeOJB7XT5M5cbKRewiDAd0SKeMe8pm.png
4232989,Włodzimierzu lepiej zadzwonić po Sylwka,https://i1.jbzd.com.pl/contents/2025/09/normal/0Q7IC6rAv1UEfoohGk12yT5cjQYTaNx3.jpeg
4232987,Greta,https://i1.jbzd.com.pl/contents/2025/09/normal/5QZjeaeTTVXxjWW08YLGdDQCsAOO8OqY.jpg
4232986,Czas na diete,https://i1.jbzd.com.pl/contents/2025/09/normal/0WvRzGAIPmDc5rAx5DXqzycjW3TAJQU0.png
4232985,Taki obraz nasz,https://i1.jbzd.com.pl/contents/2025/09/normal/u9zeDr8H2IUte84dtuCGO7ZaDudMX0MG.jpg
4232984,Poszukuje kluczy do SafeClamp od rhino nr 303,https://i1.jbzd.com.pl/contents/2025/09/normal/IS0sPHWsa1vuiMR8IA4sxhn3vUPUYeTK.png
4232983,Klocek,https://i1.jbzd.com.pl/contents/2025/09/normal/GgLt3lXHane0OkCmY5fPuKHQsBiUXSPH.png
4232981,"o bogowie, walka",https://i1.jbzd.com.pl/contents/2025/09/normal/vhgAqbfz2KIGfLCRNTSf15o0yBZGAuAW.png
4232980,Dzeki z ulicy Warszawskiej,https://i1.jbzd.com.pl/contents/2025/09/normal/0umW1xdxAbjBd8uOvUbMHHaPr8akx4Am.png
4232979,Halloween,https://i1.jbzd.com.pl/contents/2025/09/normal/XVdV4fIA5lMOBbzSmWIF8drQR0cmm22X.jpg
4232977,"Kotek miał grzać, ale nic z tego",https://i1.jbzd.com.pl/contents/2025/09/normal/JunKQAnfQSvbvXhu0bIvNvQK71ctGMHM.jpeg
4232976,"Ciekawe, nauczyli ją mówić",https://i1.jbzd.com.pl/contents/2025/09/normal/eCsMcr8RSQxy8yFj1oK1GKklzPhjUsVY.jpg
4232974,Nowoczesne urządzenie,https://i1.jbzd.com.pl/contents/2025/09/normal/UXfvKd6hSiKOKhwKTOoEHmJAVpWNGN9j.jpg
4232972,mmmm moje ulubione,https://i1.jbzd.com.pl/contents/2025/09/normal/5EtMtANnLVAW0rdHDF9Cqyh8YFjgT0Id.jpg
4232971,Mama,https://i1.jbzd.com.pl/contents/2025/09/normal/eNGt8KdvbFpsatS1UFaayUqKyCdiI5jo.png
4232970,Topka,https://i1.jbzd.com.pl/contents/2025/09/normal/IAZrXYedN3sNF6jB6piA0VSQfYdH8tVW.jpg
4232969,"Tak, edytowane i chuj z tego",https://jbzd.com.pl/images/video-age-18.png
4232968,"wszystko fajnie, ale może noc jest na drugiej części dysku",https://i1.jbzd.com.pl/contents/2025/09/normal/NZU39WNFlU2IK9OF63hLE7imVm4emu8Z.png
4232967,"Kiedy Admin ma urodziny, bo znalazłem idealy prezeny",https://i1.jbzd.com.pl/contents/2025/09/normal/FVVfe70xaryM10nvmvNM2CSz0BgjbTox.jpg
4232966,Łutyt Wschodni,
4232963,good old spear WYPIERALAJ,https://i1.jbzd.com.pl/contents/2025/09/normal/H0eTOMQ9WS5JxnZVvHrTS23mleJdDaRh.jpg
4232961,Why you gay?,https://jbzd.com.pl/images/video-age-18.png
